Info 0    [08:37:22.045] Starting TS Server
Info 1    [08:37:22.045] Version: 4.8.3
Info 2    [08:37:22.046] Arguments: /usr/bin/node /home/munyiri/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --useInferredProjectPerProjectRoot --cancellationPipeName /tmp/d652150b0b5c9ea0f5b06b61c86a0f0a/tscancellation* --logFile /home/munyiri/Test/TrackMyApplications/.log/tsserver.log --logVerbosity info --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [08:37:22.046] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [08:37:22.046] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [08:37:22.131] Format host information updated
Info 6    [08:37:22.209] Search path: /home/munyiri/Test/TrackMyApplications/frontend/src
Info 7    [08:37:22.210] For info: /home/munyiri/Test/TrackMyApplications/frontend/src/MyStats.js :: No config files found.
Info 8    [08:37:22.217] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [08:37:27.472] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 5255.336074024439ms
Info 10   [08:37:27.472] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [08:37:27.473] 	Files (39)

Info 12   [08:37:27.473] -----------------------------------------------
Info 13   [08:37:36.670] DirectoryWatcher:: Triggered with /home/munyiri/.cache/typescript/4.8/node_modules/types-registry/types-registry :: WatchInfo: /home/munyiri/.cache/typescript/4.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 14   [08:37:36.670] Elapsed:: 0.22610601782798767ms DirectoryWatcher:: Triggered with /home/munyiri/.cache/typescript/4.8/node_modules/types-registry/types-registry :: WatchInfo: /home/munyiri/.cache/typescript/4.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 15   [08:37:37.675] DirectoryWatcher:: Triggered with /home/munyiri/.cache/typescript/4.8/node_modules/types-registry 0:: WatchInfo: /home/munyiri/.cache/typescript/4.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 16   [08:37:37.676] Elapsed:: 0.5021919906139374ms DirectoryWatcher:: Triggered with /home/munyiri/.cache/typescript/4.8/node_modules/types-registry 0:: WatchInfo: /home/munyiri/.cache/typescript/4.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 17   [08:37:37.676] DirectoryWatcher:: Triggered with /home/munyiri/.cache/typescript/4.8/node_modules/types-registry 1:: WatchInfo: /home/munyiri/.cache/typescript/4.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
